Cell	Ref1.1	Ref1.10	Ref1.11	Ref1.12	Ref1.13	Ref1.14	Ref1.15	Ref1.16	Ref1.17	Ref1.18	Ref1.19	Ref1.2	Ref1.20	Ref1.21	Ref1.22	Ref1.23	Ref1.24	Ref1.25	Ref1.26	Ref1.27	Ref1.28	Ref1.29	Ref1.3	Ref1.30	Ref1.31	Ref1.32	Ref1.33	Ref1.34	Ref1.35	Ref1.4	Ref1.5	Ref1.6	Ref1.7	Ref1.8	Ref1.9	Ref2.1	Ref2.10	Ref2.11	Ref2.12	Ref2.13	Ref2.14	Ref2.15	Ref2.17	Ref2.18	Ref2.19	Ref2.2	Ref2.20	Ref2.22	Ref2.23	Ref2.24	Ref2.25	Ref2.3	Ref2.4	Ref2.9	Ref2.T0	Ref2.T1	Ref2.T10	Ref2.T11	Ref2.T12	Ref2.T13	Ref2.T14	Ref2.T15	Ref2.T2	Ref2.T3	Ref2.T4	Ref2.T5	Ref2.T7	Ref2.T8	Ref2.T9	Ref3.10	Ref3.16	Ref3.18	Ref3.19	Ref3.2	Ref3.4	Ref3.7	Ref3.8	Ref3.9	Ref4.1	Ref4.10	Ref4.11	Ref4.12	Ref4.13	Ref4.14	Ref4.15	Ref4.16	Ref4.17	Ref4.18	Ref4.19	Ref4.2	Ref4.3	Ref4.4	Ref4.5	Ref4.6	Ref4.7	Ref4.8	Ref4.9	Ref5.tB	Ref5.tDC1	Ref5.tDC2	Ref5.tDC3	Ref5.tMac1	Ref5.tMac2	Ref5.tMac3	Ref5.tMac4	Ref5.tMac5	Ref5.tMac6	Ref5.tMac7	Ref5.tMac8	Ref5.tMac9	Ref5.tMacCycl	Ref5.tMast1	Ref5.tMast2	Ref5.tMono1	Ref5.tMono2	Ref5.tMono3	Ref5.tMonoDC	Ref5.tN1	Ref5.tN2	Ref5.tN3	Ref5.tN4	Ref5.tN5	Ref5.tNK1	Ref5.tNK2	Ref5.tPC1	Ref5.tPC2	Ref5.tPC3	Ref5.tPC4	Ref5.tPC5	Ref5.tPC6	Ref5.tpDC	Ref5.tRBC	Ref5.tT1	Ref5.tT2	Ref5.tT3	Ref5.tT4	Ref5.tT5	Ref5.tT6	Ref5.tT7	Ref6.CD4..CXCL13.	Ref6.CD4..FOXP3.	Ref6.CD4..IL7R.	Ref6.CD4..RGCC.	Ref6.CD4..TRM	Ref6.CD8..mitotic.TRM	Ref6.CD8..TEM	Ref6.CD8..TRM	Ref6.CD8..γδ	Ref7.CD4.C1.CCR7	Ref7.CD4.C2.ANXA1	Ref7.CD4.C3.GNLY	Ref7.CD4.C4.CD69	Ref7.CD4.C5.EOMES	Ref7.CD4.C6.GZMA	Ref7.CD4.C7.CXCL13	Ref7.CD4.C8.FOXP3	Ref7.CD4.C9.CTLA4	Ref7.CD4.iNKT	Ref7.CD4.MAIT	Ref7.CD8.C1.LEF1	Ref7.CD8.C2.CD28	Ref7.CD8.C3.CX3CR1	Ref7.CD8.C4.GZMK	Ref7.CD8.C5.ZNF683	Ref7.CD8.C6.LAYN	Ref7.CD8.C7.SLC4A10	Ref7.DN.diverse	Ref7.DN.MAIT	Ref7.DP.diverse	Ref7.other.diverse	Ref7.other.MAIT
ERY4_4	0.018	0.002	0.002	0	0.004	0.022	0.01	0.016	0.038	0.004	0.018	0.01	0.016	0.016	0.006	0.034	0.016	0.272	0.136	0.002	0.012	0.034	0	0.028	0.024	0.042	0.01	0.024	0.148	0.006	0.008	0.006	0.006	0.006	0.004	0.022	0.006	0.01	0.018	0.024	0.02	0.004	0.214	0.014	0.02	0.012	0.356	0.036	0.026	0.032	0.018	0.004	0.034	0.014	0.008	0.008	0.002	0.006	0	0	0.004	0.032	0.008	0.004	0.002	0.006	0.008	0.028	0	0.022	0.002	0.188	0.444	0.11	0.018	0.17	0.04	0.006	0.012	0.344	0.05	0.004	0.112	0.372	0.036	0.004	0.012	0.032	0.002	0	0.002	0.002	0.002	0.002	0.004	0	0.008	0.006	0	0.002	0.002	0.098	0.05	0.108	0.06	0.012	0.028	0.038	0.04	0	0.014	0.016	0.004	0.014	0.008	0.002	0.022	0.024	0.004	0.024	0.06	0.096	0.008	0.002	0.018	0.004	0.016	0.016	0.01	0.03	0.004	0.094	0.012	0.01	0.012	0.016	0.004	0.006	0.006	0.182	0.326	0.128	0.04	0.084	0.024	0.062	0.014	0.14	0.034	0.038	0.004	0.078	0.024	0.066	0.09	0.07	0.172	0	0.006	0.034	0.01	0.006	0.008	0.044	0.006	0.016	0.204	0.006	0	0.076	0.008
ERY4_5	0.018	0.002	0	0.004	0.002	0.024	0.01	0.018	0.032	0.002	0.012	0.004	0.016	0.016	0.006	0.024	0.008	0.29	0.134	0	0.012	0.026	0	0.016	0.036	0.038	0.018	0.01	0.208	0.002	0	0.002	0.006	0.002	0.002	0.018	0.016	0.01	0.014	0.034	0.046	0.002	0.214	0.022	0.012	0.016	0.318	0.036	0.016	0.008	0.008	0.006	0.048	0.022	0.002	0.008	0.008	0.016	0	0	0.006	0.02	0.014	0.01	0.006	0.006	0.01	0.026	0.002	0.034	0.004	0.084	0.552	0.06	0.032	0.21	0.018	0.006	0.016	0.252	0.128	0.008	0.1	0.358	0.05	0.004	0.016	0.034	0.002	0.002	0.002	0.002	0.004	0.002	0.012	0	0.008	0.006	0	0.002	0.002	0.066	0.012	0.078	0.026	0.016	0.016	0.012	0.028	0	0.006	0.014	0.008	0.014	0.008	0.006	0.026	0.02	0.008	0.03	0.044	0.108	0.014	0.006	0.026	0.004	0.032	0.018	0.008	0.044	0.002	0.262	0.012	0.004	0.006	0	0.002	0.004	0	0.146	0.246	0.092	0.026	0.096	0.016	0.112	0.036	0.23	0.026	0.016	0.01	0.1	0.026	0.09	0.086	0.042	0.156	0	0.02	0.016	0.028	0.02	0.02	0.062	0.02	0.028	0.136	0.002	0.002	0.094	0
ERY4_6	0.006	0	0	0.008	0.014	0.026	0.012	0.018	0.048	0	0.014	0.004	0.018	0.012	0.01	0.02	0.01	0.234	0.164	0.01	0.014	0.052	0	0.048	0.036	0.042	0.026	0.026	0.106	0.004	0.004	0.006	0.004	0.004	0	0.02	0.012	0.006	0.022	0.024	0.058	0.008	0.192	0.04	0.014	0.014	0.254	0.014	0.04	0	0.012	0.012	0.04	0.036	0.004	0.008	0.004	0.04	0	0.002	0	0.058	0.01	0.008	0.002	0.004	0.008	0.032	0.002	0.054	0.012	0.206	0.186	0.056	0.14	0.224	0.088	0.034	0.016	0.342	0.08	0.01	0.152	0.254	0.036	0.008	0.012	0.032	0.002	0.004	0.004	0.004	0.004	0.006	0.016	0	0.018	0.002	0.002	0.004	0	0.134	0.052	0.08	0.054	0.016	0.022	0.026	0.034	0	0.016	0.04	0.024	0.018	0.022	0.02	0.024	0.006	0.002	0.012	0.03	0.05	0.02	0	0.032	0.008	0.026	0.064	0.016	0.048	0.002	0.026	0.016	0.004	0.022	0.012	0	0.01	0.004	0.168	0.338	0.104	0.034	0.136	0.002	0.062	0.016	0.14	0	0.036	0.024	0.078	0.014	0.078	0.084	0.052	0.106	0	0.006	0.012	0.022	0.042	0.056	0.076	0.038	0.04	0.124	0.006	0.002	0.102	0.002
ERY4_7	0.002	0.012	0.01	0.022	0.024	0.016	0.046	0.086	0.092	0.004	0.002	0.006	0.002	0.002	0.006	0.004	0.002	0.242	0.268	0.008	0.022	0.024	0.004	0.02	0.01	0.012	0.008	0.012	0.01	0.006	0.002	0.004	0	0	0.01	0.022	0.006	0.006	0.048	0.032	0.034	0.008	0.116	0.018	0.01	0.02	0.236	0.012	0.018	0.008	0.154	0.012	0.018	0.028	0.018	0.002	0.01	0.018	0.002	0	0.002	0.05	0.008	0.006	0.006	0.008	0.012	0.05	0.002	0.022	0.004	0.186	0.444	0.014	0.028	0.298	0.002	0.002	0.022	0.272	0.042	0.042	0.402	0.154	0.01	0.012	0.002	0.01	0	0.002	0.004	0.004	0.004	0	0.012	0	0.006	0.004	0.002	0.002	0.006	0.08	0.032	0.034	0.034	0.004	0.01	0.018	0.014	0.002	0.03	0.07	0.036	0.014	0.018	0.008	0.052	0.004	0.004	0.008	0.002	0.026	0.02	0.004	0.044	0.006	0.06	0.058	0.012	0.078	0.012	0.014	0.018	0.01	0.056	0.034	0.006	0.024	0.03	0.28	0.214	0.144	0.024	0.126	0.004	0.068	0.02	0.12	0.026	0.042	0.012	0.144	0.026	0.078	0.062	0.098	0.082	0	0.002	0.012	0.01	0.028	0.016	0.036	0.008	0.006	0.19	0	0.002	0.12	0
ERY4_8	0.01	0.004	0.004	0.016	0.022	0.052	0.016	0.016	0.052	0.002	0.012	0.004	0.01	0.006	0.004	0.006	0.008	0.288	0.19	0.008	0.034	0.05	0	0.02	0.016	0.012	0.006	0.008	0.092	0.01	0.006	0.006	0.004	0.002	0.004	0.018	0.012	0.006	0.016	0.02	0.05	0.018	0.244	0.034	0.012	0.034	0.26	0.018	0.022	0.002	0.01	0.014	0.038	0.05	0.002	0.002	0.006	0.018	0.002	0	0.002	0.028	0.008	0.008	0.002	0.006	0.008	0.03	0	0.08	0.002	0.31	0.34	0.044	0.126	0.05	0.038	0.01	0.016	0.504	0.052	0.008	0.132	0.158	0.032	0.014	0.012	0.018	0.006	0.014	0.002	0.002	0.004	0	0.01	0.004	0.012	0.006	0	0.002	0.004	0.076	0.018	0.046	0.014	0.006	0.004	0.008	0.018	0	0.038	0.028	0.01	0.028	0.026	0.026	0.024	0.016	0	0.03	0.05	0.082	0.018	0.008	0.024	0.002	0.022	0.04	0.02	0.036	0.014	0.15	0.008	0.02	0.016	0.008	0.006	0.012	0.036	0.154	0.176	0.134	0.026	0.074	0.138	0.114	0.036	0.148	0.022	0.026	0.014	0.092	0.016	0.104	0.09	0.038	0.104	0	0.002	0.028	0.014	0.02	0.032	0.054	0.022	0.012	0.196	0	0	0.114	0
ERY4_9	0	0.002	0	0	0.018	0.012	0.014	0.01	0.06	0	0	0.002	0.002	0.004	0	0.002	0.002	0.382	0.38	0.008	0.01	0.03	0	0.018	0.012	0.014	0.002	0.008	0	0	0	0.002	0.002	0.002	0.002	0.028	0.02	0.012	0.036	0.058	0.03	0.012	0.08	0.022	0.014	0.038	0.094	0.01	0.002	0.07	0.046	0.008	0.02	0.038	0.082	0.034	0.006	0.002	0.008	0.002	0.014	0.044	0.014	0.002	0.056	0.008	0.034	0.032	0.024	0.028	0.004	0.196	0.51	0.018	0.056	0.162	0.022	0.004	0	0.386	0.02	0.012	0.488	0.03	0	0.012	0	0.004	0	0	0	0.002	0.012	0.014	0.004	0.012	0.004	0.018	0.004	0	0.004	0.118	0.048	0.028	0.024	0.016	0.01	0.014	0.016	0.002	0.038	0.028	0.008	0.036	0.022	0.006	0.06	0	0	0.006	0.008	0.02	0.022	0.022	0.026	0.004	0.028	0.022	0.012	0.032	0.014	0.002	0.032	0.044	0.06	0.028	0.016	0.034	0.068	0.166	0.196	0.092	0.062	0.052	0.246	0.09	0.048	0.048	0.042	0.06	0.004	0.106	0.006	0.038	0.068	0.096	0.15	0	0.008	0.034	0.008	0.002	0.004	0.014	0.004	0.008	0.264	0.002	0.002	0.076	0.004
ERY5_3	0.016	0.01	0.006	0.006	0.004	0.024	0.016	0.03	0.07	0.002	0.006	0.002	0.022	0.008	0.008	0.008	0.016	0.212	0.196	0.012	0.016	0.056	0.002	0.026	0.03	0.032	0.01	0.012	0.114	0.006	0.002	0.006	0.006	0.006	0.002	0.034	0.008	0.01	0.016	0.028	0.034	0.006	0.208	0.026	0.012	0.012	0.242	0.022	0.02	0.046	0.024	0.004	0.038	0.018	0.012	0.008	0.008	0.02	0.004	0.002	0.008	0.034	0.014	0.006	0.014	0.008	0.012	0.042	0	0.016	0.01	0.242	0.276	0.036	0.044	0.356	0.016	0.004	0.016	0.39	0.108	0.022	0.22	0.094	0.04	0.006	0.008	0.052	0.002	0.002	0	0	0.008	0.002	0.012	0.002	0.016	0.004	0	0	0	0.098	0.034	0.052	0.02	0.01	0.016	0.018	0.02	0	0.016	0.062	0.024	0.012	0.014	0.016	0.026	0.006	0.004	0.01	0.022	0.05	0.016	0.01	0.064	0.014	0.054	0.048	0.018	0.078	0.01	0.034	0.026	0.012	0.024	0.014	0.008	0.012	0.024	0.124	0.25	0.168	0.054	0.146	0.052	0.098	0.048	0.06	0.026	0.052	0.03	0.084	0.04	0.118	0.084	0.054	0.104	0	0.006	0.018	0.014	0.018	0.024	0.056	0.006	0.022	0.16	0.002	0	0.078	0.004
ERY5_5	0.016	0.004	0	0.002	0.004	0.024	0.014	0.01	0.012	0.002	0.012	0.012	0.008	0.008	0.002	0.034	0.012	0.334	0.134	0	0.008	0.038	0.002	0.022	0.03	0.04	0.016	0.018	0.14	0.016	0.008	0.004	0.004	0.002	0.008	0.024	0.002	0.006	0.01	0.028	0.03	0.002	0.168	0.008	0.018	0.018	0.364	0.05	0.024	0.078	0.006	0.002	0.03	0.016	0.008	0.002	0.002	0.016	0.002	0.002	0.002	0.038	0.014	0.002	0.004	0.006	0	0.016	0.002	0.042	0.002	0.16	0.42	0.04	0.054	0.252	0.022	0.008	0.004	0.388	0.048	0.004	0.088	0.39	0.036	0.002	0.004	0.018	0	0	0.002	0	0.006	0	0.004	0	0.006	0.002	0	0.002	0	0.084	0.032	0.082	0.03	0.012	0.022	0.03	0.024	0	0.01	0.016	0.016	0.008	0.006	0.004	0.01	0.012	0.01	0.024	0.046	0.128	0.006	0.002	0.042	0.004	0.038	0.042	0.018	0.042	0.01	0.138	0.01	0.008	0.01	0.006	0.002	0.006	0.006	0.176	0.28	0.124	0.03	0.116	0.024	0.06	0.026	0.164	0.014	0.028	0.018	0.094	0.014	0.048	0.09	0.052	0.15	0	0.016	0.034	0.018	0.03	0.028	0.072	0.006	0.024	0.158	0.006	0.002	0.098	0
ERY5_6	0.004	0.002	0	0.01	0.016	0.026	0.026	0.026	0.056	0.004	0.014	0.01	0.022	0.016	0.01	0.028	0.008	0.202	0.15	0.012	0.022	0.03	0.002	0.032	0.042	0.048	0.02	0.018	0.116	0.006	0	0.008	0.006	0.004	0.004	0.072	0.004	0.004	0.064	0.022	0.03	0.01	0.258	0.06	0.02	0.01	0.15	0.036	0.024	0.01	0.004	0.004	0.016	0.024	0.002	0.006	0.014	0.046	0.002	0.008	0	0.02	0.026	0.024	0.002	0.01	0.006	0.012	0	0.052	0	0.35	0.14	0.032	0.08	0.1	0.204	0.042	0.016	0.354	0.074	0.014	0.206	0.208	0.024	0.012	0.012	0.028	0.006	0.004	0.002	0	0.008	0.002	0.014	0.004	0.012	0.008	0.002	0.006	0.006	0.14	0.044	0.08	0.056	0.016	0.022	0.036	0.024	0	0.018	0.028	0.008	0.022	0.024	0.016	0.032	0.006	0.006	0.018	0.038	0.076	0.02	0.016	0.028	0.012	0.03	0.03	0.01	0.032	0.008	0.018	0.018	0.01	0.012	0.01	0.002	0.006	0.006	0.068	0.124	0.088	0.068	0.162	0.016	0.222	0.096	0.156	0.004	0.008	0.116	0.022	0.02	0.042	0.042	0.016	0.038	0	0.006	0.012	0.034	0.17	0.11	0.124	0.062	0.024	0.05	0.004	0	0.092	0.004
ERY5_7	0.006	0.002	0	0.004	0.014	0.018	0.006	0.012	0.028	0	0.012	0.004	0.01	0.004	0.002	0.016	0.006	0.396	0.156	0.006	0.012	0.028	0	0.02	0.032	0.034	0.018	0.012	0.126	0.002	0	0.004	0.002	0.004	0.004	0.03	0.008	0.006	0.036	0.034	0.036	0.004	0.206	0.01	0.004	0.008	0.316	0.026	0.028	0.008	0.024	0.008	0.032	0.014	0.006	0.004	0.006	0.03	0.006	0.006	0	0.044	0.006	0.01	0.002	0.004	0.008	0.03	0	0.104	0	0.27	0.248	0.032	0.058	0.228	0.048	0.012	0.008	0.488	0.038	0.008	0.106	0.238	0.028	0.008	0.008	0.036	0	0	0.002	0.002	0.002	0	0.018	0	0.01	0	0.002	0.004	0.002	0.112	0.058	0.09	0.04	0.014	0.02	0.032	0.038	0.004	0.032	0.028	0.014	0.012	0.008	0.014	0.02	0.008	0	0.024	0.02	0.05	0.018	0.012	0.046	0.008	0.034	0.032	0.012	0.056	0.01	0.056	0.01	0.004	0.018	0.01	0	0.016	0.012	0.116	0.172	0.088	0.04	0.102	0.07	0.132	0.106	0.174	0.016	0.022	0.028	0.09	0.016	0.122	0.084	0.03	0.098	0	0.018	0.022	0.018	0.038	0.038	0.052	0.028	0.036	0.134	0.004	0	0.104	0.002
ERY5_8	0.01	0.01	0.002	0.006	0.016	0.066	0.032	0.04	0.104	0.004	0.022	0.002	0.018	0.008	0.01	0.006	0.016	0.138	0.152	0.01	0.038	0.092	0	0.062	0.032	0.002	0.004	0.012	0.058	0.008	0.004	0.004	0.002	0.006	0.004	0.054	0.014	0	0.034	0.018	0.02	0.012	0.16	0.228	0.01	0.05	0.086	0.03	0.018	0.002	0.012	0.01	0.008	0.068	0.01	0.002	0.01	0.044	0.004	0.006	0	0.018	0.018	0.014	0.002	0.008	0.004	0.024	0.002	0.038	0.002	0.398	0.136	0.036	0.092	0.198	0.07	0.03	0.03	0.216	0.048	0.044	0.248	0.06	0.014	0.05	0.02	0.108	0.006	0.036	0.016	0.002	0.02	0.012	0.042	0.008	0.02	0.004	0.002	0.006	0.01	0.134	0.032	0.03	0.018	0.012	0.01	0.014	0.012	0.002	0.042	0.036	0.008	0.038	0.03	0.034	0.048	0.016	0.004	0.006	0.014	0.014	0.024	0.016	0.03	0.01	0.036	0.05	0.026	0.068	0.018	0.014	0.016	0.012	0.022	0.02	0.002	0.008	0.052	0.082	0.116	0.08	0.026	0.132	0.082	0.2	0.134	0.148	0.006	0.018	0.052	0.048	0.02	0.05	0.046	0.028	0.028	0	0	0.012	0.04	0.13	0.112	0.142	0.094	0.042	0.032	0	0.002	0.094	0.004
ERY5_9	0.002	0.008	0	0.004	0.014	0.03	0.028	0.04	0.094	0.004	0.002	0.004	0.012	0.012	0.014	0.002	0.014	0.216	0.234	0.02	0.028	0.046	0.002	0.026	0.034	0.04	0.002	0.014	0.022	0.004	0.004	0.01	0.004	0.002	0.008	0.028	0.028	0.006	0.036	0.014	0.062	0.02	0.11	0.096	0.016	0.038	0.084	0.008	0.01	0.004	0.014	0.038	0.14	0.08	0.01	0.01	0.01	0.008	0.004	0.006	0.004	0.034	0.012	0.014	0.008	0.01	0.016	0.02	0.002	0.108	0.006	0.264	0.114	0.028	0.172	0.224	0.064	0.02	0.018	0.278	0.028	0.042	0.366	0.028	0.008	0.014	0.008	0.088	0.012	0.008	0.008	0.01	0.02	0.01	0.012	0.018	0.024	0.008	0.004	0.004	0.006	0.136	0.056	0.046	0.03	0.006	0.008	0.012	0.028	0.004	0.084	0.022	0.008	0.024	0.074	0.024	0.054	0.004	0.002	0.008	0.008	0.02	0.008	0.008	0.046	0.01	0.052	0.04	0.018	0.036	0.014	0.006	0.006	0.006	0.026	0.006	0.002	0.01	0.026	0.17	0.296	0.106	0.03	0.058	0.126	0.094	0.032	0.088	0.008	0.03	0.026	0.064	0.024	0.074	0.092	0.076	0.106	0	0.004	0.014	0.018	0.056	0.054	0.054	0.026	0.012	0.112	0	0	0.15	0
MEGA1_2	0.006	0.01	0.004	0.012	0.018	0.216	0.062	0.034	0.032	0.01	0.042	0.004	0.048	0.046	0.018	0.034	0.008	0.008	0.016	0.02	0.04	0.034	0.002	0.036	0.036	0.026	0.024	0.03	0.078	0.002	0.004	0.008	0.002	0.016	0.014	0.02	0.004	0	0.026	0.008	0.022	0.002	0.158	0.114	0.018	0.004	0.044	0.122	0.058	0	0.014	0.004	0.024	0.044	0.006	0.002	0.018	0.054	0.002	0.008	0.004	0.074	0.028	0.022	0.008	0.018	0.022	0.046	0.002	0.064	0.008	0.208	0.014	0.184	0.124	0.096	0.244	0.058	0.046	0.06	0.118	0.05	0.104	0.036	0.044	0.05	0.05	0.112	0.018	0.012	0.02	0.01	0.116	0.042	0.062	0.022	0.028	0.014	0.006	0.008	0.008	0.05	0.016	0.026	0.018	0.008	0.004	0.006	0.016	0.004	0.012	0.04	0.014	0.024	0.034	0.026	0.038	0.012	0	0.006	0.02	0.02	0.038	0.008	0.032	0.01	0.046	0.034	0.02	0.044	0.014	0.02	0.054	0.032	0.094	0.022	0.006	0.072	0.024	0.05	0.134	0.1	0.026	0.2	0.002	0.19	0.102	0.196	0.014	0.044	0.044	0.11	0.024	0.064	0.068	0.024	0.034	0	0.002	0.042	0.052	0.058	0.062	0.082	0.07	0.016	0.086	0	0.002	0.102	0
MEGA1_3	0.008	0.014	0.01	0.022	0.028	0.204	0.076	0.06	0.054	0.008	0.01	0.006	0.02	0.034	0.01	0.018	0.01	0.018	0.058	0.032	0.08	0.048	0.004	0.008	0.01	0.016	0.004	0.024	0.056	0.004	0.008	0.014	0.006	0.008	0.01	0.04	0.006	0.004	0.078	0.022	0.046	0.002	0.17	0.142	0.014	0.01	0.032	0.054	0.024	0	0.006	0.006	0.032	0.04	0.022	0.006	0.018	0.04	0.01	0.006	0	0.038	0.024	0.024	0.012	0.016	0.034	0.016	0.006	0.044	0	0.374	0.116	0.052	0.124	0.088	0.148	0.054	0.04	0.098	0.09	0.088	0.296	0.03	0.022	0.08	0.02	0.052	0.006	0.016	0.012	0.01	0.024	0.028	0.034	0.022	0.032	0.012	0.006	0.012	0.014	0.094	0.012	0.016	0.026	0.004	0.012	0.006	0.01	0.006	0.01	0.046	0.026	0.024	0.038	0.032	0.042	0.012	0	0.004	0.006	0.008	0.048	0.034	0.044	0.008	0.052	0.042	0.026	0.056	0.012	0.01	0.036	0.006	0.05	0.02	0.01	0.026	0.042	0.064	0.106	0.06	0.026	0.2	0.008	0.25	0.114	0.172	0.004	0.012	0.066	0.036	0.026	0.042	0.026	0.006	0.022	0	0	0.02	0.058	0.136	0.104	0.186	0.076	0.02	0.042	0	0	0.116	0.002
MEGA1_4	0.006	0.028	0.012	0.042	0.028	0.1	0.044	0.036	0.03	0.004	0.032	0	0.036	0.042	0.038	0.008	0.004	0.008	0.022	0.038	0.11	0.062	0.016	0.046	0.052	0.018	0	0.032	0.01	0.004	0.004	0.014	0.012	0.02	0.042	0.054	0.006	0.002	0.086	0.01	0.018	0.002	0.026	0.368	0	0.016	0.002	0.028	0.012	0	0	0.01	0.02	0.04	0.014	0.002	0.026	0.026	0.012	0.024	0.002	0.02	0.048	0.078	0.01	0.02	0.006	0.01	0.002	0.19	0.024	0.092	0.002	0.108	0.324	0.014	0.132	0.114	0.044	0.02	0.01	0.092	0.074	0.03	0.004	0.048	0.106	0.062	0.026	0.032	0.028	0.044	0.102	0.056	0.14	0.03	0.052	0.036	0.016	0.032	0.01	0.124	0.038	0.032	0.008	0.002	0.008	0.012	0.036	0.006	0.042	0.018	0.01	0.048	0.056	0.034	0.128	0.002	0	0.006	0.004	0.012	0.03	0.028	0.01	0.004	0.018	0.016	0.002	0.018	0.03	0	0.012	0.01	0.022	0.022	0.002	0.028	0.028	0.05	0.06	0.042	0.01	0.198	0.004	0.244	0.234	0.158	0.002	0.01	0.128	0.026	0.006	0.018	0.014	0.01	0.006	0	0	0.008	0.068	0.256	0.06	0.156	0.056	0.026	0.036	0	0	0.112	0.002
MEGA1_5	0	0.026	0.028	0.068	0.09	0.054	0.122	0.162	0.112	0.028	0.006	0	0.004	0.008	0	0	0.004	0	0.012	0.018	0.096	0.026	0.01	0.006	0.01	0.004	0.002	0.012	0.006	0.006	0.01	0.004	0.002	0.028	0.036	0.02	0.012	0.02	0.05	0.048	0.062	0.006	0.064	0.052	0.006	0.04	0.066	0.01	0.008	0.002	0.098	0.028	0.028	0.032	0.048	0.036	0.012	0.01	0.006	0	0.01	0.036	0.016	0.016	0.05	0.012	0.032	0.042	0.022	0.074	0.008	0.216	0.01	0.052	0.412	0.138	0.05	0.04	0.024	0.014	0.006	0.302	0.424	0.004	0.002	0.054	0.006	0	0.008	0.008	0.002	0.008	0.024	0.04	0.012	0.048	0.014	0.032	0.012	0.01	0.014	0.068	0.024	0.018	0.012	0.004	0	0.006	0.008	0.002	0.028	0.082	0.032	0.036	0.04	0.006	0.056	0	0	0.004	0.006	0.002	0.014	0.03	0.046	0.016	0.072	0.044	0.012	0.024	0.038	0	0.032	0.036	0.05	0.02	0.01	0.028	0.026	0.234	0.218	0.118	0.024	0.14	0.014	0.094	0.022	0.136	0.018	0.058	0.022	0.096	0.028	0.078	0.038	0.1	0.056	0	0.004	0.054	0.018	0.032	0.026	0.026	0.012	0.014	0.194	0	0.01	0.106	0.01
MEGA1_6	0	0.092	0.152	0.224	0.116	0.012	0.046	0.054	0.038	0.018	0	0	0.002	0.016	0.006	0	0.002	0	0.006	0.016	0.032	0.018	0.034	0	0.004	0.002	0	0.004	0.002	0.012	0.004	0	0	0.032	0.056	0.03	0.014	0.03	0.026	0.044	0.06	0.012	0.032	0.042	0.008	0.036	0.044	0.008	0.002	0	0.072	0.038	0.038	0.05	0.06	0.064	0.01	0.002	0.012	0	0.014	0.024	0.024	0.002	0.088	0.012	0.036	0.04	0.026	0.098	0.02	0.09	0.006	0.054	0.458	0.238	0.014	0.022	0.048	0.006	0.004	0.56	0.158	0.002	0	0.022	0.008	0.008	0.008	0.002	0.004	0.008	0.032	0.054	0.01	0.044	0.022	0.06	0.012	0.008	0.006	0.082	0.03	0.012	0.006	0	0.004	0.01	0.01	0.002	0.024	0.04	0.014	0.014	0.016	0.016	0.056	0	0.002	0.002	0.008	0.002	0.014	0.05	0.038	0.012	0.064	0.042	0.008	0.048	0.026	0	0.038	0.05	0.062	0.04	0.012	0.018	0.042	0.296	0.16	0.214	0.03	0.114	0.004	0.074	0.012	0.096	0.042	0.06	0.014	0.112	0.026	0.07	0.038	0.106	0.066	0	0.002	0.036	0.018	0.01	0.022	0.028	0.01	0.012	0.2	0	0.012	0.108	0.008
MEGA1_7	0.004	0.006	0.002	0.02	0.02	0.038	0.016	0.028	0.016	0.008	0.008	0	0.008	0.012	0.008	0.002	0.008	0.004	0.026	0.006	0.048	0.24	0.006	0.278	0.064	0.022	0.004	0.018	0.054	0.002	0.002	0.004	0	0.008	0.01	0.01	0.054	0	0.006	0.02	0.044	0.058	0.026	0.184	0.01	0.284	0.02	0.006	0.006	0	0.002	0.072	0.02	0.134	0.006	0	0.002	0.004	0	0.006	0.002	0.004	0.004	0.004	0	0	0.002	0.006	0.004	0.044	0	0.128	0.01	0.044	0.648	0.056	0.05	0.02	0.014	0.05	0.07	0.066	0.166	0.028	0.012	0.208	0.016	0.052	0.01	0.146	0.03	0.004	0.024	0.022	0.028	0.008	0.046	0.002	0	0.006	0.004	0.166	0.036	0.026	0.032	0.01	0.008	0.01	0.016	0.008	0.036	0.022	0.016	0.086	0.072	0.102	0.042	0.024	0	0.01	0.016	0.018	0.032	0.014	0.022	0.004	0.022	0.012	0.012	0.024	0.018	0.008	0.012	0.002	0.016	0.012	0	0.004	0.018	0.122	0.114	0.144	0.024	0.192	0.01	0.176	0.046	0.172	0.012	0.052	0.072	0.098	0.01	0.126	0.044	0.03	0.032	0	0.002	0.018	0.02	0.106	0.028	0.066	0.04	0.012	0.09	0	0.004	0.138	0
